Date,Open,High,Low,Close,Volume,up_n,down_n,body_n,upper_bb,middle_bb,lower_bb
2026-05-18 21:07:00+03:00,4544.095,4545.365,4544.0,4545.355,435,0.7,7.0,92.3,4549.868676980991,4547.092200000006,4544.315723019022
2026-05-18 21:08:00+03:00,4545.405,4546.095,4544.33,4544.54,380,39.1,11.9,49.0,4549.704603792363,4546.903000000006,4544.101396207649
2026-05-18 21:09:00+03:00,4544.535,4545.555,4544.285,4545.15,421,31.9,19.7,48.4,4549.60851901656,4546.780000000005,4543.951480983451
2026-05-18 21:10:00+03:00,4545.145,4545.56,4544.135,4545.36,240,14.0,70.9,15.1,4549.42996385078,4546.650400000005,4543.87083614923
2026-05-18 21:11:00+03:00,4545.31,4546.43,4544.905,4545.44,268,64.9,26.6,8.5,4549.380255647139,4546.575400000005,4543.770544352871
2026-05-18 21:12:00+03:00,4545.435,4546.165,4545.12,4545.41,210,69.9,27.8,2.4,4549.113839894736,4546.437000000005,4543.760160105275
2026-05-18 21:13:00+03:00,4545.4,4545.75,4545.125,4545.325,194,56.0,32.0,12.0,4548.717408093447,4546.278000000005,4543.838591906562
2026-05-18 21:14:00+03:00,4545.28,4545.575,4545.045,4545.35,354,42.5,44.3,13.2,4548.682625012254,4546.223600000005,4543.764574987756
2026-05-18 21:15:00+03:00,4545.36,4545.565,4543.255,4544.08,523,8.9,35.7,55.4,4548.563046807321,4546.069400000005,4543.575753192688
2026-05-18 21:16:00+03:00,4544.085,4544.17,4541.945,4542.145,432,3.8,9.0,87.2,4548.688287358701,4545.847800000006,4543.007312641311
2026-05-18 21:17:00+03:00,4542.16,4543.29,4541.71,4542.82,580,29.7,28.5,41.8,4548.465343285371,4545.616800000005,4542.768256714639
2026-05-18 21:18:00+03:00,4542.83,4543.09,4541.56,4541.945,253,17.0,25.2,57.8,4548.249286343829,4545.345600000005,4542.441913656181
2026-05-18 21:19:00+03:00,4541.925,4542.99,4541.79,4542.755,359,19.6,11.3,69.2,4548.045775001402,4545.145400000006,4542.24502499861
2026-05-18 21:20:00+03:00,4542.77,4542.795,4540.87,4540.885,343,1.3,0.8,97.9,4548.070003611573,4544.881600000005,4541.693196388437
2026-05-18 21:21:00+03:00,4540.86,4542.625,4540.705,4542.455,412,8.9,8.1,83.1,4547.879531008071,4544.694000000006,4541.50846899194
2026-05-18 21:22:00+03:00,4542.45,4542.71,4540.725,4541.18,365,13.1,22.9,64.0,4547.896538770408,4544.492400000006,4541.088261229604
2026-05-18 21:23:00+03:00,4541.185,4542.63,4540.79,4541.745,505,48.1,21.5,30.4,4547.769326856995,4544.302800000006,4540.836273143017
2026-05-18 21:24:00+03:00,4541.74,4542.03,4540.615,4541.28,502,20.5,47.0,32.5,4547.564515936236,4544.076600000006,4540.588684063776
2026-05-18 21:25:00+03:00,4541.295,4541.46,4538.935,4539.16,645,6.5,8.9,84.6,4547.667985514217,4543.795200000006,4539.922414485794
2026-05-18 21:26:00+03:00,4539.15,4539.685,4537.995,4538.515,760,31.7,30.8,37.6,4547.834081744125,4543.5144000000055,4539.194718255886
2026-05-18 21:27:00+03:00,4538.51,4538.965,4536.855,4538.95,813,0.7,78.4,20.9,4547.874026348535,4543.262800000006,4538.651573651477
2026-05-18 21:28:00+03:00,4538.955,4542.475,4538.955,4542.38,690,2.7,0.0,97.3,4547.694105423509,4543.1466000000055,4538.599094576502
2026-05-18 21:29:00+03:00,4542.365,4542.87,4541.55,4541.965,579,38.3,31.4,30.3,4547.433223908019,4542.994200000006,4538.5551760919925
2026-05-18 21:30:00+03:00,4541.96,4542.825,4541.255,4542.205,667,39.5,44.9,15.6,4547.0201366126885,4542.819800000006,4538.619463387323
